,text,affect
0,Layin n bed with a headache  ughhhh...waitin on your call...,sadness
1,Funeral ceremony...gloomy friday...,sadness
2,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sadness
3,Ugh! I have to beat this stupid song to get to the next  rude!,sadness
4,The storm is here and the electricity is gone,sadness
5,So sleepy again and it's not even that late. I fail once again.,sadness
6,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sadness
7,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,sadness
8,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,sadness
9,mmm much better day... so far! it's still quite early. last day of #uds,happiness
10,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,sadness
11,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness
12,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,sadness
13,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sadness
14,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",happiness
15,dont wanna work 11-830 tomorrow  but i get paid,sadness
16,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,sadness
17,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",sadness
18,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",happiness
19,Is miserable  i feel like im gona cry  sux!,sadness
20,*sigh* I'm going to bed... I just don't feel right anymore...,sadness
21,Now I am depressed after watching so you think you can dance,sadness
22,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",sadness
23,"Last day working for the Uni today, sad times",sadness
24,is still missing her husband.    I really want him home.,sadness
25,I miss my puppy,sadness
26,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,sadness
27,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sadness
28,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,sadness
29,Took a shift tomorrow.    I don't really feel like working right now.,sadness
30,but now i have no money for a phone,sadness
31,Too bad the Red Devils.. disappointing to say the least,sadness
32,is a bad friend,sadness
33,Had to cancel wow for now,sadness
34,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",happiness
35,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",happiness
36,Up late with nothin 2 do.....,sadness
37,sometimes i wish things could go back to the way they were the beginning of last summer,sadness
38,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",happiness
39,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,happiness
40,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,sadness
41,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",sadness
42,It's pissing me off and not letting me follow ericka,sadness
43,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,sadness
44,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,sadness
45,I haven't seen Muffin in two whole days!,sadness
46,Just found mj mouse flats at DJs. Of course there are none left in my size,sadness
47,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,sadness
48,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,happiness
49,my teeth and head hurts,sadness
