,text,affect
0,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger
1,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger
2,My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger
3,"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger
4,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger
5,Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger
6,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger
7,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger
8,Hate when guys cant control their anger 🙃🙃,anger
9,Literally fuming fuck sake,anger
10,It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger
11,I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger
12,The rage has died down.,anger
13,"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger
14,All Brian does is sleep and aggravate me,anger
15,i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger
16,For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger
17,Might just leave and aggravate bae,anger
18,"Realest ever, relentless ever, inevitable that I win.",anger
19,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger
20,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger
21,"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger
22,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger
23,#oow16 #sting decent new song,anger
24,Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger
25,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger
26,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger
27,"I miss my gran singing Rawhide, in her deep baritone growl.",anger
28,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger
29,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger
30,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger
31,"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",anger
32,Eat my ass' is no longer an insult,anger
33,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger
34,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger
35,"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger
36,"Anger, resentment, and hatred are the destroyer of your fortune today.",anger
37,"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger
38,If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger
39,Sting is just too damn earnest for early morning listening. ,anger
40,Sting is just too damn earnest for early morning listening. #sting,anger
41,Just seeing Alex revells face gets me angry,anger
42,"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger
43,I hope my hustle don't offend nobody,anger
44,"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger
45,Lol little things like that make me so angry x,anger
46,"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",anger
47,This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards,anger
48,wanna go home and focus up on this game . Don't wanna rage at all,anger
49,I wanna see you smile I don't wanna see you make a frown,anger
50,They gonna give this KKk police bitch the minimum sentence..just wattch #angry,anger
51,They gonna give this KKk police bitch the minimum sentence..just wattch ,anger
52,I just got murdered in madden. 🤕,anger
53,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩,anger
54,new madden 16 video was gonna be up but xbox is being an ahole and not going through 🙄🙄 #struggles,anger
55,"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.",anger
56,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry,anger
57,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,anger
58,I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh 😅,anger
59,Autocorrect changes ''em' to 'me' which I resent greatly,anger
60,Candice on great british bake off with that pout does my head in 👊🏻🙄,anger
61,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger
62,Fast and furious 6 this Monday 10 pm on mbc 2 😍😍😍😍😍😍😍,anger
63,"Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.",anger
64,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter,anger
65,So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed ,anger
66,At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily,anger
67,When you want to say something so bad but can't ! #furious 😤,anger
68,“Competition is suppose to motivate you to do better everytime not to be bitter all the time” -De philosopher DJ Kyos \n#quote #success #CSGO,anger
69,Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠 #angry #Rooney #mufc,anger
70,Stop tracking back you fucking potato faced cunt errrr infuriating 😠😠😠😠😠  #Rooney #mufc,anger
71,Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger
