,ID,CITY,COUN,SUBJ,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,PLAN,FAIR,CAUS,COPING,MORL,SELF,RELA,VERBAL,NEUTRO,affect,Field3,Field2,MYKEY,text,STATE,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
0,11001,1,1,1,1,33,1,2,6,1,2,2,4,3,2,2,0,0,1,0,0,0,0,2,1,1,3,0,2,2,1,3,2,2,0,0,fear,3,2,110012,When I was involved in a traffic accident.,1,,,,,,,,,
1,11001,1,1,1,1,33,1,2,6,1,2,3,4,1,3,0,0,0,2,0,0,0,0,1,1,1,3,3,0,3,1,2,2,1,0,0,anger,1,3,110013,"When I was driving home after  several days of hard work, there á was a motorist ahead of me who was driving at 50 km/hour and á refused, despite his low speeed to let me overtake.",1,,,,,,,,,
2,11001,1,1,1,1,33,1,2,6,1,2,4,4,4,4,1,1,0,1,0,0,1,0,1,2,1,3,3,3,3,5,0,1,1,0,2,sadness,4,4,110014,When I lost the person who meant the most to me. ,1,,,,,,,,,
3,11001,1,1,1,1,33,1,2,6,1,2,5,4,4,4,3,0,0,0,0,0,0,0,1,1,1,3,0,0,4,1,0,0,2,0,0,disgust,4,4,110015,"The time I knocked a deer down - the sight of the animal's á injuries and helplessness.  The realization that the animal was á so badly hurt that it had to be put down, and when the animal á screamed at the moment of death.",1,,,,,,,,,
4,11002,1,1,2,2,23,0,0,7,5,2,2,4,3,3,2,0,1,0,1,0,0,0,0,3,2,3,0,0,0,3,0,2,0,0,0,fear,3,3,110022,When I was going home alone one night in Paris and a man came up á behind me and asked me if I was not afraid to be out alone so á late at night.,1,,,,,,,,,
5,11002,1,1,2,2,23,0,0,7,5,2,3,3,3,4,2,0,0,2,0,0,0,1,2,1,1,2,3,0,2,1,3,2,1,3,0,anger,3,4,110023,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,1,,,,,,,,,
6,11002,1,1,2,2,23,0,0,7,5,2,4,3,4,4,0,2,0,1,0,0,0,0,0,3,2,3,3,3,2,3,3,1,1,0,2,sadness,4,4,110024,When my friends did not ask me to go to a New Year's party á with them.,1,,,,,,,,,
7,11002,1,1,2,2,23,0,0,7,5,2,5,4,2,1,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,4,0,0,0,0,0,disgust,2,1,110025,When I saw all the very drunk kids (13-14 years old) in town on á Walpurgis night.,1,,,,,,,,,
8,11003,1,1,3,2,22,8,2,4,6,2,2,1,2,2,1,2,2,1,1,0,0,0,0,2,2,3,0,0,1,1,0,1,0,0,2,fear,2,2,110032,"Every time I imagine that someone I love or I could contact a á serious illness, even death.",1,,,,,,,,,
9,11003,1,1,3,2,22,8,2,4,6,2,3,3,4,4,4,1,0,2,0,0,1,0,2,2,1,3,3,3,2,1,0,1,1,2,2,anger,4,4,110033,When I had been obviously unjustly treated and had no possibility á of elucidating this.,1,,,,,,,,,
10,11003,1,1,3,2,22,8,2,4,6,2,4,2,3,3,0,0,0,1,1,0,0,0,0,2,2,3,0,1,1,5,1,3,0,1,0,sadness,3,3,110034,When I think about the short time that we live and relate it to á the periods of my life when I think that I did not use this á short time.,1,,,,,,,,,
11,11003,1,1,3,2,22,8,2,4,6,2,5,2,4,4,3,0,1,2,1,0,0,0,2,2,3,3,3,0,0,1,3,3,1,2,0,disgust,4,4,110035,At a gathering I found myself involuntarily sitting next to two á people who expressed opinions that I considered very low and á discriminating.,1,,,,,,,,,
12,11004,1,1,4,1,23,8,2,6,4,2,2,4,4,4,0,0,0,0,1,0,0,0,0,3,3,3,1,1,1,3,0,2,0,0,0,fear,4,4,110042,"When, for the first time I realized the meaning of death.",1,,,,,,,,,
13,11004,1,1,4,1,23,8,2,6,4,2,3,2,1,4,2,0,0,1,0,0,0,0,1,1,3,1,2,3,3,4,3,3,1,0,0,anger,1,4,110043,When a car is overtaking another and I am forced to drive off the á road.,1,,,,,,,,,
14,11004,1,1,4,1,23,8,2,6,4,2,4,1,3,2,0,1,0,0,1,0,0,0,0,2,2,3,3,0,1,5,0,1,0,0,1,sadness,3,2,110044,"When I recently thought about the hard work it takes to study, and  á how one wants to try something else.  When I read a theoretical á book in English that I did not understand.",1,,,,,,,,,
15,11004,1,1,4,1,23,8,2,6,4,2,5,3,1,2,0,1,0,0,0,0,0,0,0,1,1,3,0,0,3,4,0,2,0,1,1,disgust,1,2,110045,When I found a bristle in the liver paste tube.,1,,,,,,,,,
16,11005,1,1,5,2,22,1,1,7,6,2,2,3,1,2,1,0,2,1,0,0,0,0,1,1,2,3,2,2,4,3,0,2,2,0,0,fear,1,2,110052,"When one has arranged to meet someone and that person arrives á late, in the meantime one starts thinking about all that could á have gone wrong e.g a traffic accident.",1,,,,,,,,,
17,11005,1,1,5,2,22,1,1,7,6,2,3,4,1,3,1,0,2,2,0,0,1,0,0,2,1,3,2,3,2,5,2,2,1,0,1,anger,1,3,110053,When one is unjustly accused of something one has not done.,1,,,,,,,,,
