,text,affect,sentiment
0,No don't I beg of you!,fear,negative
1,You know? Forget it!,sadness,negative
2,"No, I-I-I-I don't, I actually don't know",fear,negative
3,Chris says they're closing down the bar.,sadness,negative
4,Just coffee! Where are we gonna hang out now?,disgust,negative
5,Got me.,sadness,negative
6,"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness,negative
7,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",sadness,negative
8,"Oh no-no-no, give me some specifics.",anger,negative
9,You fell asleep!!,anger,negative
10,There was no kangaroo!,anger,negative
11,They didn't take any of my suggestions!,anger,negative
12,Don't go!,sadness,negative
13,I'm sorry.,sadness,negative
14,I'm so sorry!,sadness,negative
15,This guy fell asleep!,anger,negative
16,He fell asleep too!,anger,negative
17,Be mad at him!,anger,negative
18,"Or, call an ambulance.",anger,negative
19,"What?! What is with everybody? It's Thanksgiving, not...Truth-Day!",anger,negative
20,Oh my god. You are pure evil.,disgust,negative
21,"Ok, pure evil , horny and alone . I've done this",anger,negative
22,Nobody!,anger,negative
23,Nobody respects the bucket!,anger,negative
24,You wouldn't believe what people put in here!,anger,negative
25,Look!,anger,negative
26,"Okay, does this look like a garbage can to you?",anger,negative
27,"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!",anger,negative
28,"That's great, but shouldn't you be on the toilet right now?",disgust,negative
29,What's wrong with you?,disgust,negative
30,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.",fear,negative
31,"No way! Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!",fear,negative
32,That's a hernia.,disgust,negative
33,Why did I have to start working out again?  Damn you 15s!,anger,negative
34,Get Out!,anger,negative
35,"Uh, well... Joey and I broke up.",sadness,negative
36,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness,negative
37,I knew that was him!,anger,negative
38,"Anyway I just, uh, I think it's for the best.",sadness,negative
39,I guess.,sadness,negative
40,"Ok, gentlemen!",anger,negative
41,Please!,anger,negative
42,Aren't we a little old for this?,anger,negative
43,We're academics.,anger,negative
44,Oy!!,disgust,negative
45,"Okay, see that blind guy right there? I'm gonna bash his head in later.",anger,negative
46,"Oh boy, I just can't watch. It's too scary!",fear,negative
47,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fear,negative
48,Uh-oh.,fear,negative
49,I have to pee. And Rachel's in the bathroom!,sadness,negative
50,"I know!  Don't switch hands, okay?",fear,negative
51,I got no sleep last night!,anger,negative
52,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgust,negative
53,You have no idea how loud they are!,disgust,negative
54,Ew! What is that? Something exploded!,disgust,negative
55,Okay! You don't think I thought of that?,anger,negative
56,"What should I wear, now I'm all nervous.",fear,negative
57,"Man, this is gonna be kinda weird.",sadness,negative
58,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sadness,negative
59,Please!,anger,negative
60,Are you kidding?,anger,negative
61,"I-I hurt three huge men, I gave a guy a bloody noseI mean I-I'm not proud of it but, I really am.",anger,negative
62,I think you've got concussion.,fear,negative
63,You're welcome.  I'm sorry. Did I hurt you?,fear,negative
64,"It's worth the pain.  Y'know what, you know what? It's not.",sadness,negative
65,"Chandler, we have talked about this.",anger,negative
