,text,affect,Unnamed: 2,Unnamed: 3
0,"Como una expresión tan simple, una sola oración, puede llegara dañarte tanto. ",sadness,,
1,eww.. my moms starting to make her annual rum cake for the whole ramdyal/ally family. fml fml fml the smelll....... ,disgust,,
2,Making art and viewing art are different at their core!   ,fear,,
3,"Soooo dooowwwn!! Move on, get some sleep... Me deserve better. #forgetit #yawning",anger,,
4,"&quot;We're sorry, but the clip you selected isn't available from your location. Please select another clip.&quot; NO I REFUSE. ",sadness,,
6,"Soo if i hit youu , i garrentee i won't stopp . type to keep going till i make a bitch bleed foreal ! ",anger,,
8,large crowds of manic football fans &amp; mascots ,fear,,
9,Someone on my high school football team is also called Moriarty. ,fear,,
10,I just absolutely lost my mind.. :(,anger,,
11,My earlier tweet should've said &quot;I sometimes think I'm the youngest person...&quot;  ,anger,,
12,Working on this third drink tho...  Someone is tryna challenge me to a cook off... they've already  ,sadness,,
13,sounds awful but alot of people are dying recently :(( ,sadness,,
14,Feeling left out... I guess I always have my boyfriend. ,sadness,,
17,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun..... & 59:19 (KJV) #glory #God",fear,,
18,I only have two class periods left with my favorite teacher. ,sadness,,
19,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,anger,,
20,been awake since 4:30am. too tired for black friday fun. ,sadness,,
21,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me.",fear,,
23,Father forgive me for my and help me live boldly in Your #truth #GloryOfTheCross,fear,,
24,I can't believe I'm saying this but Room 112 by 112 is a big ass simp album. ,sadness,,
26,"They're playing Manchester Orchestra in between acts...Hey Allston Pudding, I really would have liked to go to that concert. ",anger,,
27,Naubusan kami ng slot sa 5k ng MILO MARATHON :| ,sadness,,
28,People are more likely to die in hospital at the weekend? ,fear,,
30,"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR.   ",sadness,,
31,staging environment. private server. logged in to back-end CMS. opening the front-end in new window... too many connections... WTF? ,sadness,,
32,"&quot;In your do not #sin: do not let the sun go down while you are still angry, and DO NOT GIVE THE #DEVIL A FOOTHOLD.&quot; Ephesians 4:26",anger,,
35,''What is profound might become absolutely meaningless'' ,fear,,
36,I want cake. I bet we don't have any. ,sadness,,
37,"Don't believe the lies, look me in the eyes- please don't be scared of me ",fear,,
39,Went upstairs for a min and came back to find my puppy ate a huge corner of my book... ,anger,,
40,Little hesitant to apply deodorant ever again ,fear,,
41,Packing to leave tomorrow ,sadness,,
42,Is it a lack of  or a of #loneliness that make people put up with bullshit,fear,,
44,words cant even describe how i feel right nowww! #mad #cmonguys,anger,,
45,Had a coffee about 2 hours ago and I'm coming up like a bastard with the and jitters now! Need 2 naggins to calm me down !!!,fear,,
48,Annoying people who rung you and then hang up once you pick up the phone ,anger,,
49,"Looking through old Facebook photos, I noticed circa late spring 2009, aka graduation, that my eyes were bugged out.  ",fear,,
51,We all are not worthy of God's forgiveness. We are saved by His loving grace. Don't harbor resentment.  #fear,anger,,
53,I'll miss watching Buehrle on the south side. He was my favorite White Sox player. ,sadness,,
54,And know I pop bottles because I bottle my emotions.. At least I put it all in the open.. ,fear,,
56,"This covo in the car is so funny about dudes fucking dudes, in the hood ",disgust,,
57,At what point does Fred Hoiberg's heart doctor get concerned? ,anger,,
58,Back from the hospital just in time for a tutorial. Today will not be a good day #boredness #fedupness,sadness,,
61,Last day of art appreciation class ,sadness,,
64,Never run away from your problem face them face to face cause so they will catch and never let goo... RIP Jane Kane,fear,,
66,"She Women share on of technology. Fear of not being able to find/trust sone to help. Impact: limit potential, missed opportunities.",fear,,
67,An enraged person only gets angrier when you say “I completely understand.”       ,anger,,
68,Radio degraded from some good songs to absolute shit ,sadness,,
69,"You me. I've never been more hurt by one person, never been treated like that. But I did it to myself, I'm the one to blame.",disgust,,
70,"The Lord taketh pleasure in them that fear him, in those that hope in his mercy.& 147:11 (KJV)  #hope #mercy",fear,,
71,"suffering from a of failure? what is the worst case scenario? If it is not that bad, why are you still afraid?Hmmm, I think I am goin…",fear,,
72,Dick Vitale is calling the Ohio State/Duke game. ,sadness,,
73,"this year, for the first time in my life, I will not have a christmas tree in my home ",sadness,,
74,i hate the human race...  ,anger,,
75,My brother just left with my movie #MarkWahlberg &#xA;&#xA;I miss it already!,fear,,
76,"ok free people skirt, hide and seeks over ",anger,,
77,I have to manage my since people can't manage their #STUPIDITY,anger,,
78,"Man, these Indian rappers from Brampton are almost as bad as the black ones. ",sadness,,
79,   Its a big distraction from our lives. They create the illusion of so we accept their Solutions. $$,fear,,
81,"I feel as though I live in  because there are things I'd like to say in this  post, but losing my #job. #emptywords",fear,,
83,I wonder if my new emoticon keyboard works in Twitter.  It does! Probably only visible to iPhone/iPad users tho. ,sadness,,
84,Really wanna go see the lights on the cumberland but the weather just won't cooperate ,sadness,,
87,Not even worth a rejection letter. ,sadness,,
88,If you've never liked Nickelback then you pretty much wasted most of your life . ,sadness,,
90,I'm exhausted but can't sleep.  I just want my nap.  ,sadness,,
91,is rememered #Pain and #Fear is projecting it into the future. #Guilt comes from pain with blame. Primary pain creates #depression,anger,,
92,is rememered  and is projecting it into the future. #Guilt comes from pain with blame. Primary pain creates #depression,fear,,
93,"I saw the world without any borders in my  I was flying under the sun above the trees, no just #love. Dreams are my reality",fear,,
94,"The that was filling this #building from her, from his #death will linger here well after we leave. #Someone will feel it one day.",sadness,,
95,2 more days of this break.. :( I don't want it to end.. ,sadness,,
96,"God, don't show me any more I don't think my heart can take it. ",sadness,,
97,Not walkin up stairs because you're afraid to trip going up.. ,fear,,
98,Someone went thru our mail and tore open my mom's bday card to me! Looking for $? Our neighbor on another street brought it over. ,sadness,,
99,There is only one thing that makes a  impossible to achieve: the of failure.,fear,,
100,Oh my god ...  did an awesome play on ....love that scene.,fear,,
101,Fuck all of y'all we ignore feelings here ,fear,,
102,I saw a dead Cardinal outside at lunch. I don't think it's a coincidence.  ,sadness,,
103,On the way home from Chester. Zack drives like something off need for speed :( ,fear,,
104,Today was a sad day... :( Im gonna miss you Emily..  #tears,sadness,,
106," of when your phone starts falling towards your face , but you save it. #amazing",fear,,
111,Spanish is the worst class. My teacher has been out for two weeks and my peers are proletariats. ,sadness,,
112,Jamming to Pandora...trying to bring some light to my bday weekend...I really wish I was able to go home and be with my family..,sadness,,
114,"Sooooo Tired, but I want to watch a movie. ",sadness,,
115,"first, the (batman begins)....then, the #limits (dark knight).....im thinking like,  fucking....#redemption (dark knight rises)",fear,,
116,"I feel a certain strange surging thru my soul....., yet it feels so off-limits..wht do I do... Wht. Is there to say? ",fear,,
117,...and guess what song just popped in my head. ,fear,,
119,Pain is my happiness..darkness is my light... I'm one big void of nothingness...,sadness,,
120,Watching and listening to people eat me,disgust,,
121,It's not a proper relationship without friendship... But how do you get it back? ,sadness,,
122,"... for remember, fear doesn't exist anywhere except in the mind.&quot; - Dale Carnegie ",fear,,
123,Just made it north of the Mason-Dixon line #missingthesouth,sadness,,
124,God im so mad its burning my fuckin stomach! ,anger,,
125,all this  news has made me very nervous whenever i see a cop.  even a friendly cop in the mall.  i hate that.  ,fear,,
126,Sitting here depressed n staring into space ,sadness,,
127,is the lock &amp;&amp; #laughter the key to your heart. ❤,fear,,
129,Back to the real world!!  ,sadness,,
130,"YOU PUT THAT UKELELE AWAY OR I WILL RIP IT FROM YOUR HANDS AND BEAT YOU DEAD.  We are studying, you dumb shit!  ",anger,,
131,Ça me manque de ne pas mettre mon doigt dans les narines de mon frere et de cramer les cheveux de mon colombinus d'amour ! ,sadness,,
132,The part where she drinks the blood is #vomitar,disgust,,
133,.when yur dad's anger and yuu laugh.,anger,,
135,really? mcdonalds cafe machine isnt working..no peppermint hot chocolate): ,sadness,,
137, you put clothes in the washing machine  &amp;&amp; forget the main thing you wanted to wash  #ohshit,sadness,,
138,cutting off my camp bracelets is such a sad ritual. I mus be reeeeaaalllyy dedicated to this play. ,sadness,,
139," said he wants to live in u, but  he saw fear in your house occupying your space and u wouldn't invite him in ro get rid of ",fear,,
141,State of certainty to state of confusion just like that...,sadness,,
142,Cody won't be coming anywhere NEAR where I live. At all. );,sadness,,
143,"not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;",fear,,
145,One of those nights when all I wanna do is listen to my iPod and hide under the covers.. ,sadness,,
146,GOSH! I miss football so much! ,sadness,,
147,God please shine your grace and mercy on this oddly looking lady that's about to cut my hair. Great Clips!,fear,,
148, is not a strategy  is not a factor is not an option,fear,,
149,"i mean for you to hate it,not me.i love it,but there are a few people in for a rude awakening. is it in you?lmao!!!!!",fear,,
151,alot of ppl r sad that their brother is going to college &amp; leaving them...... well im sad i cant sell my brother on e-bay.... shit ,sadness,,
153,I'm home watchin this sad movie. Missing college. ,sadness,,
158,Guess I'll give up on using the internet for now and do something useful for a change.  ,sadness,,
159,"this 19 yearold eats 30,000calories a day.   oh.my.god.  #tearsAndstomachache",sadness,,
162,Intelligence puts man on the throne. Faith puts God there.     ,fear,,
163,"Its like time runs to me, runs to me faster, fastest. Oh how I make my self beating no well  ♬   ♬  ",fear,,
165,in any form diminishes my ability to think clearly and trust myself. Why in the world is it used as a tool so often?,fear,,
166, The s not the problem-Your Attention 2 fearful possibilities s the attracting force. Stop 8 quick -Cheryl Janecky #loa #anxiety,fear,,
171,TEARS ARE AH FORM OF PROTECTION...IS NOT MY DIRECTION,sadness,,
172,The fear of the  is the beginning of wisdom...doing His will connotes His ,fear,,
173,"i just wanna listen to music, but my stupid ass ipod is broke -__- :'( ",sadness,,
175,Sucks when you don't have wifi and you dont have your cell phone and ou can't get on twitter ,sadness,,
177,I ate a burrito the size of my arm earlier and now i am weathering the calm before the storm ,fear,,
178,When I tweet something stupid as fuck everyone retweets it? ,disgust,,
180,I don't need to swear to anything. Punch your mrs and you'll wake up with your dick on your pillow next to bloody scissors. .,fear,,
183,"I Broke Up With Cause I Finally Realized It Was Holding Me Back. I'm In Love With #Grace Now, &amp;It's Now My Motivation.&#xA;#TeamJESUS",fear,,
184,"Asked a kid how old he thought I was, his answer: 25, thank goodness I got my lancome stuffs!  ",sadness,,
185,&quot; You should have the of losing one's softness in the heart and its hardening.&quot;#islam,fear,,
187,A lot of people's biggest is #death and a lot of others is #clowns.. My biggest fear... Death by Clowns! There's nothing scarier!,fear,,
188,Holy shit I just weighed myself for the first time since before college..  I put on 13 pounds in a semester.. Pure in myself,disgust,,
189,"Great, Jay is coming out of Daniel. Get ready for a rage.",anger,,
191,SHIT!!!!!!!! I ran outta fruity pebbles! Dam :(  ,sadness,,
192,You know i spend money cause spending time is hopeless ,fear,,
194,If your a girl and you smoke alot of weed you me,disgust,,
195,My ex a quadruple hoe!! Sumbodi need to gne stop playin w/ her Lil scary...DA LOUDEST DOG N DA POUND KEEP HIS TAIL TUCKED N HIS ASS!! ,fear,,
196,Losing people everyday and I'm sick of cryin nd bein sad is the next emotion,anger,,
197,I never got a chance 2b my fathers child n yet u ask me to kneel? ,anger,,
198,"Can't go to bed .. I keep looking at the window hoping that my car won't be robbed& , #vacation",fear,,
199,And my black Friday shift begins.  ,sadness,,
200,"Realistic bad dreams really suck, especially when about someone close to you. Must resist urge to call them at 3 am... ",sadness,,
