text,affect,sentiment
also I was the point person on my company's transition from the KL-5 to GR-6 system.,neutral,neutral
You must've had your hands full.,neutral,neutral
That I did. That I did.,neutral,neutral
So let's talk a little bit about your duties.,neutral,neutral
My duties?  All right.,surprise,positive
"Now you'll be heading a whole division, so you'll have a lot of duties.",neutral,neutral
I see.,neutral,neutral
But there'll be perhaps 30 people under you so you can dump a certain amount on them.,neutral,neutral
Good to know.,neutral,neutral
We can go into detail,neutral,neutral
No don't I beg of you!,fear,negative
"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",neutral,neutral
Really?!,surprise,positive
Absolutely.  You can relax,neutral,neutral
But then who? The waitress I went out with last month?,surprise,negative
You know? Forget it!,sadness,negative
"No-no-no-no, no! Who, who were you talking about?",surprise,negative
"No, I-I-I-I don't, I actually don't know",fear,negative
Ok!,neutral,neutral
"All right, well...",neutral,neutral
"Yeah, sure!",neutral,neutral
"Hey, Mon.",neutral,neutral
Hey-hey-hey. You wanna hear something that sucks.,neutral,neutral
Do I ever.,joy,positive
Chris says they're closing down the bar.,sadness,negative
No way!,surprise,negative
"Yeah, apparently they're turning it into some kinda coffee place.",neutral,neutral
Just coffee! Where are we gonna hang out now?,disgust,negative
Got me.,sadness,negative
Can I get a beer.,neutral,neutral
"Hey, did you pick a roommate?",neutral,neutral
You betcha!,joy,positive
Is it the Italian guy?,neutral,neutral
"Um-mm, yeah right!",joy,positive
"Oh my God, oh my God! Poor Monica!",surprise,negative
"What, what, what?!",surprise,negative
What?!,surprise,negative
He was with her when he wrote this poem.,neutral,neutral
"Look,  'My vessel so empty with nothing inside.",neutral,neutral
"Now that I've touched you, you seem emptier still.'",neutral,neutral
"He thinks Monica is empty, she is the empty vase!",surprise,negative
"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness,negative
Done.,neutral,neutral
Hey!,surprise,positive
Hi!,joy,positive
What are you doing here?,surprise,positive
"Ah y'know, this building is on my paper route so I...",neutral,neutral
Oh.,neutral,neutral
Hi.,neutral,neutral
Hi.,neutral,neutral
How'd did it go?,neutral,neutral
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",joy,positive
I'm so proud of you.,joy,positive
Me too!,joy,positive
"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",sadness,negative
I know.,neutral,neutral
Yeah.,neutral,neutral
Yeah.,neutral,neutral
Ameri-can.,neutral,neutral
Ameri-ccan.,neutral,neutral
Ameri-can. Y'know it's a,neutral,neutral
Everybody!!,surprise,positive
Good job Joe! Well done! Top notch!,joy,positive
You liked it? You really liked it?,surprise,positive
"Oh-ho-ho, yeah!",joy,positive
Which part exactly?,neutral,neutral
The whole thing! Can we go?,neutral,neutral
"Oh no-no-no, give me some specifics.",anger,negative
"I love the specifics, the specifics were the best part!",joy,positive
"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral,neutral
I was surprised to see a kangaroo in a World War I epic.,surprise,negative
You fell asleep!!,anger,negative
There was no kangaroo!,anger,negative
They didn't take any of my suggestions!,anger,negative
That's for coming buddy.,neutral,neutral
I'll see you later.,neutral,neutral
Don't go!,sadness,negative
I'm sorry.,sadness,negative
I'm so sorry!,sadness,negative
Look!,surprise,negative
This guy fell asleep!,anger,negative
He fell asleep too!,anger,negative
Be mad at him!,anger,negative
"Or, call an ambulance.",anger,negative
"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral,neutral
"What?! What is with everybody? It's Thanksgiving, not...Truth-Day!",anger,negative
"Yes, and it is my dying wish to have that ring.",neutral,neutral
"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral,neutral
"Okay, that's enough honey!",neutral,neutral
I don't know.  Let me see the ring.,neutral,neutral
"Great! Okay, here.",joy,positive
All right.,neutral,neutral
Thank you. Thank you. Thank you!  And,joy,positive
What've you been up to?,neutral,neutral
"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral,neutral
"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral,neutral
Can you hold on a moment? I have another call.  I love her.,joy,positive
I know.,neutral,neutral
I'm back.,neutral,neutral
"So, are we gonna get together or what?",neutral,neutral
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral,neutral
"Great, I'll see you then.",neutral,neutral
Ok.  Ok. Having a phone has finally paid off.,joy,positive
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral,neutral
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",neutral,neutral
Oh my god. You are pure evil.,disgust,negative
"Ok, pure evil , horny and alone . I've done this",anger,negative
Nobody!,anger,negative
Nobody respects the bucket!,anger,negative
You wouldn't believe what people put in here!,anger,negative
Look!,anger,negative
"Okay, does this look like a garbage can to you?",anger,negative
No.,neutral,neutral
This is my wedding.,neutral,neutral
"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!",anger,negative
Fine. You'll-you'll watch it on video when we get back.,neutral,neutral
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,joy,positive
Thank you.,neutral,neutral
Thank you.,neutral,neutral
"All right, let's go! Bye, Pheebs!",joy,positive
"Bye, Pheebs!",joy,positive
London baby!!,joy,positive
"Oh, do you need a hug? You don't have to bring me anything!",joy,positive
Hey!,neutral,neutral
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,joy,positive
"That's great, but shouldn't you be on the toilet right now?",disgust,negative
What?!,surprise,negative
What's wrong with you?,disgust,negative
Nothing!,neutral,neutral
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.",fear,negative
"But um, I don't think it's anything serious.",neutral,neutral
This sounds like a hernia. You have toyou-you go to the doctor!,surprise,negative
"No way! Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!",fear,negative
That's a hernia.,disgust,negative
Why did I have to start working out again?  Damn you 15s!,anger,negative
I love your place! Where is this guy from?,joy,positive
Uh that's an eighteenth century Indian artifact from Calcutta.,neutral,neutral
