No don't I beg of you!,fear,negative
You know? Forget it!,sadness,negative
"No, I-I-I-I don't, I actually don't know",fear,negative
Chris says they're closing down the bar.,sadness,negative
Just coffee! Where are we gonna hang out now?,disgust,negative
Got me.,sadness,negative
"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness,negative
"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",sadness,negative
"Oh no-no-no, give me some specifics.",anger,negative
You fell asleep!!,anger,negative
There was no kangaroo!,anger,negative
They didn't take any of my suggestions!,anger,negative
Don't go!,sadness,negative
I'm sorry.,sadness,negative
I'm so sorry!,sadness,negative
This guy fell asleep!,anger,negative
He fell asleep too!,anger,negative
Be mad at him!,anger,negative
"Or, call an ambulance.",anger,negative
"What?! What is with everybody? It's Thanksgiving, not...Truth-Day!",anger,negative
Oh my god. You are pure evil.,disgust,negative
"Ok, pure evil , horny and alone . I've done this",anger,negative
Nobody!,anger,negative
Nobody respects the bucket!,anger,negative
You wouldn't believe what people put in here!,anger,negative
Look!,anger,negative
"Okay, does this look like a garbage can to you?",anger,negative
"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!",anger,negative
"That's great, but shouldn't you be on the toilet right now?",disgust,negative
What's wrong with you?,disgust,negative
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.",fear,negative
"No way! Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!",fear,negative
That's a hernia.,disgust,negative
Why did I have to start working out again?  Damn you 15s!,anger,negative
Get Out!,anger,negative
"Uh, well... Joey and I broke up.",sadness,negative
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness,negative
I knew that was him!,anger,negative
"Anyway I just, uh, I think it's for the best.",sadness,negative
I guess.,sadness,negative
"Ok, gentlemen!",anger,negative
Please!,anger,negative
Aren't we a little old for this?,anger,negative
We're academics.,anger,negative
Oy!!,disgust,negative
"Okay, see that blind guy right there? I'm gonna bash his head in later.",anger,negative
"Oh boy, I just can't watch. It's too scary!",fear,negative
"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fear,negative
Uh-oh.,fear,negative
I have to pee. And Rachel's in the bathroom!,sadness,negative
"I know!  Don't switch hands, okay?",fear,negative
I got no sleep last night!,anger,negative
"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgust,negative
You have no idea how loud they are!,disgust,negative
Ew! What is that? Something exploded!,disgust,negative
Okay! You don't think I thought of that?,anger,negative
"What should I wear, now I'm all nervous.",fear,negative
"Man, this is gonna be kinda weird.",sadness,negative
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sadness,negative
Please!,anger,negative
Are you kidding?,anger,negative
"I-I hurt three huge men, I gave a guy a bloody noseI mean I-I'm not proud of it but, I really am.",anger,negative
I think you've got concussion.,fear,negative
You're welcome.  I'm sorry. Did I hurt you?,fear,negative
"It's worth the pain.  Y'know what, you know what? It's not.",sadness,negative
"Chandler, we have talked about this.",anger,negative
You are not supposed to give people advice!,anger,negative
Now couldn't you just have made some sort of inappropriate joke?,anger,negative
They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger,negative
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger,negative
"So Ross, what your problem?",anger,negative
Why can't you get a girlfriend your own age?,anger,negative
That's funny. Umm.  It's not funny.,fear,negative
"Umm, but I think if you give me umm, one chance I can, I can change your mind.",fear,negative
Okay. I'll give you one chance to change my mind.  You got one minute.,anger,negative
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",anger,negative
Guys?,anger,negative
Guys?,anger,negative
She is gonna hate me.,fear,negative
Will you marry me?,fear,negative
Hey lady! I don't care how much you want it! Okay?! I am,disgust,negative
What a baby.,sadness,negative
Total wuss!,sadness,negative
And-and-and-and-and the toothpicks?,disgust,negative
You kissed another woman!,anger,negative
"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",anger,negative
Happy?! Is that what I'm supposed to be Vic? Happy?,anger,negative
"Well, why don't you tell me what you're supposed to be!",anger,negative
Because I sure as hell can't figure it out!,anger,negative
I talk to you and nothin'.,anger,negative
"You look at me, and it's nothin'.",anger,negative
Nothing.,anger,negative
"Well, I don't understand why Adrienne's attracted to Victor.",disgust,negative
"Ah, it's says so in the script!",anger,negative
"Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch.",anger,negative
It doesn't say that in the script.,anger,negative
It does in mine!,anger,negative
I can't,anger,negative
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,anger,negative
"Hey, hang up! You get food poisoning just talkin' to that place.",disgust,negative
"Uh sorry, wrong number.",fear,negative
I don't think this number's right!,sadness,negative
Oh come on!!,sadness,negative
"Gotta go. I miss you too, I love you, but it's getting real late now",sadness,negative
You're one to talk.,disgust,negative
Oh man. Please tell me one of 'em is Ma.,disgust,negative
"Dude, I am sorry about what I said!",sadness,negative
"No, no, you're right, it is a ridiculous name!",disgust,negative
"Yes it is! From now on, I have no first name.",anger,negative
"No! Ace is low! Ace, two, three, four!",anger,negative
Come on apartment! Come on apartment!  Oh! I know queen is high!,anger,negative
I don't know!,fear,negative
"Especially by that professor we ran into last night, Judgey von Holierthanthou.",anger,negative
Yeah. What-what should I do?,fear,negative
I couldn't do it.,sadness,negative
Ah whatever!,anger,negative
Don't touch him!,anger,negative
I-I keep hearing all these rumors that I might get fired.,fear,negative
"Okay, they even have actors coming in to read for my part!",fear,negative
"Come on man, you-you got to give me a second chance!",sadness,negative
Stupid!,anger,negative
God!,anger,negative
"Hi. Look um, about what happened earlier...",sadness,negative
I was gonna give you a chance to apologise to me.,disgust,negative
For what? For letting you throw me out of your office?,anger,negative
You had no,anger,negative
"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",anger,negative
"But I told you, I didn't have the time!",anger,negative
"Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, Rachel.",anger,negative
"Wh, Ross what do you want from me?",anger,negative
"You want me, you want me to quit my job so you can feel like you have a girlfriend?",anger,negative
"One pregnant woman at a time, please! I just want you to be okay.",disgust,negative
So forcing her to marry Bobby is gonna make that happen?,sadness,negative
